TopicID,Parent,Sibling,Title,Description,TranslateTo,Links
graphTraversals,graphs,5,Grafu apstaigāšana,Grafu apstaigāšana,,https://problems.ru/view_by_subject_new.php?parent=246
directedGraphs,graphs,6,Orientēti grafi,Orientēti grafi,,https://problems.ru/view_by_subject_new.php?parent=247
otherGraphs,graphs,7,Cita grafu teorija,Cita grafu teorija,,https://problems.ru/view_by_subject_new.php?parent=249
discreteDistributions,probabilityTheory,1,Diskrētu gadījumlielumu sadalījumi,Diskrētu gadījumlielumu sadalījumi,,https://problems.ru/view_by_subject_new.php?parent=210
continuousDistributions,probabilityTheory,2,Nepārtrauktu gadījumlielumu sadalījumi,Nepārtrauktu gadījumlielumu sadalījumi,,https://problems.ru/view_by_subject_new.php?parent=211
conditionalProbability,probabilityTheory,3,Nosacītā varbūtība,Nosacītā varbūtība,,https://problems.ru/view_by_subject_new.php?parent=1233
otherProbabilityTheory,probabilityTheory,4,Cita varbūtību teorija,Cita varbūtību teorija,,https://problems.ru/view_by_subject_new.php?parent=212
completenessOfRealNumbers,realNumbers,1,Reālo skaitļu pilnība,Reālo skaitļu pilnība,,https://problems.ru/view_by_subject_new.php?parent=865
integerPartFractionalPart,realNumbers,2,Veselā un daļveida daļa,"Veselā un daļveida daļa, Arhimēda princips",,https://problems.ru/view_by_subject_new.php?parent=905
rationalIrrationalNumbers,realNumbers,3,Racionāli un iracionāli skaitļi ,Racionāli un iracionāli skaitļi ,,https://problems.ru/view_by_subject_new.php?parent=1068
countableUncountableSets,realNumbers,4,Sanumurējamas un nesanumurējamas kopas,Sanumurējamas un nesanumurējamas kopas,,https://problems.ru/view_by_subject_new.php?parent=866
boundedMonotonicSequences,numberSequences,1,"Ierobežotas, monotonas virknes","Ierobežotas, monotonas virknes",,https://problems.ru/view_by_subject_new.php?parent=873
subsequences,numberSequences,2,Apakšvirknes,Apakšvirknes,,https://problems.ru/view_by_subject_new.php?parent=874
sequenceLimit,numberSequences,3,Virknes robeža,"Virknes robeža, konverģence",,https://problems.ru/view_by_subject_new.php?parent=875
limitsInferiorSuperior,numberSequences,4,Virknes robežpunkti,"Virknes robežpunkti, augšējā, apakšējā robeža",,https://problems.ru/view_by_subject_new.php?parent=876
constantE,numberSequences,5,Skaitlis e,Skaitlis e,,https://problems.ru/view_by_subject_new.php?parent=877
otherNumberSequences,numberSequences,6,Citi uzdevumi par skaitļu virknēm,Citi uzdevumi par skaitļu virknēm,,https://problems.ru/view_by_subject_new.php?parent=878
boundedMonotonicFunctions,functionsAndContinuity,1,"Ierobežotas, monotonas funkcijas","Ierobežotas, monotonas funkcijas",,https://problems.ru/view_by_subject_new.php?parent=882
periodicFunctions,functionsAndContinuity,2,Funkciju periodiskums,Funkciju periodiskums,,https://problems.ru/view_by_subject_new.php?parent=1079
functionLimits,functionsAndContinuity,3,Funkcijas robeža,Funkcijas robeža,,https://problems.ru/view_by_subject_new.php?parent=879
continousFunctionsProperties,functionsAndContinuity,4,Nepārtrauku funkciju īpašības,Nepārtrauku funkciju īpašības,,https://problems.ru/view_by_subject_new.php?parent=880
discontinuitiesOfFunctions,functionsAndContinuity,5,Funkciju pārtraukuma punkti,Funkciju pārtraukuma punkti,,https://problems.ru/view_by_subject_new.php?parent=881
functionLimitsInfinite,functionsAndContinuity,6,Funkciju robežas bezgalībā,Funkciju robežas bezgalībā un bezgalīgas robežvērtības,,https://problems.ru/view_by_subject_new.php?parent=883
functionsContinuousOnCompact,functionsAndContinuity,7,Nepārtrauktas funkcijas kompaktā kopā,Nepārtrauktas funkcijas kompaktā kopā,,https://problems.ru/view_by_subject_new.php?parent=884
intermediateValueTheorem,functionsAndContinuity,8,Teorēma par starpvērtību,"Teorēma par starpvērtību, sakarīgums",,https://problems.ru/view_by_subject_new.php?parent=885
contractiveMappingFixedPoint,functionsAndContinuity,9,Saspiedējattēlojumi un nekustīgie punkti,Saspiedējattēlojumi un nekustīgie punkti,,https://problems.ru/view_by_subject_new.php?parent=1298
findingFunctionFromProperties,functionsAndContinuity,10,Funkcijas noteikšana pēc tās īpašībām,"Funkcijas noteikšana pēc tās īpašībām, rekurentas attiecības funkcionālvienādojumos",,https://problems.ru/view_by_subject_new.php?parent=1234
otherFunctionsAndContinuity,functionsAndContinuity,11,Citi uzdevumi par funkciju nepārtrauktību,Citi uzdevumi par funkciju nepārtrauktību,,https://problems.ru/view_by_subject_new.php?parent=886
localDerivative,derivative,1,Atvasinājums punktā,Atvasinājums punktā,,https://problems.ru/view_by_subject_new.php?parent=893
derivativeAndTangent,derivative,2,Atvasinājums un pieskare,Atvasinājums un pieskare,,https://problems.ru/view_by_subject_new.php?parent=895
derivativeAndMultipleRoots,derivative,3,Atvasinājums un daudzkāršās saknes,Atvasinājums un daudzkāršās saknes,,https://problems.ru/view_by_subject_new.php?parent=953
computingDerivatives,derivative,4,Atvasinājuma aprēķināšana,Atvasinājuma aprēķināšana,,https://problems.ru/view_by_subject_new.php?parent=896
derivativeAndExtremes,derivative,5,Atvasinājums un ekstrēmi,Atvasinājums un ekstrēmi,,https://problems.ru/view_by_subject_new.php?parent=897
derivativeAndIntermediateValues,derivative,6,Atvasinājumi un starpvērtības,Atvasinājumi un starpvērtības,,https://problems.ru/view_by_subject_new.php?parent=898
curveScetchingWithDerivatives,derivative,7,"Fukciju pētīšana, augšana un dilšana","Fukciju pētīšana, augšana un dilšana",,https://problems.ru/view_by_subject_new.php?parent=900
convexAndConcaveFunctions,derivative,8,Funkciju izliektība un ieliektība,Funkciju izliektība un ieliektība,,https://problems.ru/view_by_subject_new.php?parent=901
higherDegreeDerivatives,derivative,9,Augstāku kārtu atvasinājumi,Augstāku kārtu atvasinājumi,,https://problems.ru/view_by_subject_new.php?parent=902
taylorTheoremOnApproximation,derivative,10,Teilora teorēmas par funkciju tuvināšanu,Teilora teorēmas par funkciju tuvināšanu,,https://problems.ru/view_by_subject_new.php?parent=903
otherDerivatives,derivative,11,Citi uzdevumi par atvasinājumu,Citi uzdevumi par atvasinājumu,,https://problems.ru/view_by_subject_new.php?parent=904
definiteIntegralExistence,integral,1,Noteiktā integrāļa eksistence,Noteiktā integrāļa eksistence,,https://problems.ru/view_by_subject_new.php?parent=907
integralProperties,integral,2,Integrāļa īpašības,Integrāļa īpašības,,https://problems.ru/view_by_subject_new.php?parent=926
integralAndDerivative,integral,3,Integrālis un atvasinājums,Integrālis un atvasinājums,,https://problems.ru/view_by_subject_new.php?parent=909
computingIntegrals,integral,4,Integrāļu aprēķināšana,Integrāļu aprēķināšana,,https://problems.ru/view_by_subject_new.php?parent=925
usingIntegrals,integral,5,Integrāļu lietojumi,Integrāļu lietojumi,,https://problems.ru/view_by_subject_new.php?parent=910
nonnegativeSeries,series,1,Nenegatīvu locekļu rindas,Nenegatīvu locekļu rindas,,https://problems.ru/view_by_subject_new.php?parent=934
conditionallyConvergentSeries,series,2,Rindu nosacītā konverģence,Rindu nosacītā konverģence,,https://problems.ru/view_by_subject_new.php?parent=939
otherServies,series,3,Citi uzdevumi par rindām,Citi uzdevumi par rindām,,https://problems.ru/view_by_subject_new.php?parent=948
taylorSeries,functionSequencesSeries,1,Teilora un Maklorēna rindas,Teilora un Maklorēna rindas,,https://problems.ru/view_by_subject_new.php?parent=950
fourierSeries,functionSequencesSeries,2,Furjē rindas,Furjē rindas,,https://problems.ru/view_by_subject_new.php?parent=951
otherFunctionSeries,functionSequencesSeries,3,Citas funkciju virknes,Citas funkciju virknes,,https://problems.ru/view_by_subject_new.php?parent=892
inductionMethodGeometry,mathematicalInduction,1,Indukcijas metode ģeometrijā,Indukcijas metode ģeometrijā,,https://problems.ru/view_by_subject_new.php?parent=350
otherInduction,mathematicalInduction,2,Citas indukcijas metodes,Citas indukcijas metodes,,https://problems.ru/view_by_subject_new.php?parent=351
pigeonholeForDiscreteSets,pigeonholeMethod,1,Dirihlē princips diskrētai kopai,Dirihlē princips diskrētai kopai,,https://problems.ru/view_by_subject_new.php?parent=352
pigeonholeForAnglesAndLengths,pigeonholeMethod,2,Dirihlē princips leņķiem un garumiem,Dirihlē princips leņķiem un garumiem,,https://problems.ru/view_by_subject_new.php?parent=353
pigeonholeForAreasAndVolumes,pigeonholeMethod,3,Dirihlē princips laukumam un tilpumam,Dirihlē princips laukumam un tilpumam,,https://problems.ru/view_by_subject_new.php?parent=354
otherPigeonhole,pigeonholeMethod,4,Citi uzdevumi ar Dirihlē principu,Citi uzdevumi ar Dirihlē principu,,https://problems.ru/view_by_subject_new.php?parent=355
smallestOrLargestAngle,extremeElementMethod,1,Mazākais vai lielākais leņķis,Mazākais vai lielākais leņķis,,https://problems.ru/view_by_subject_new.php?parent=356
smallestOrLargestDistance,extremeElementMethod,2,Mazākais vai lielākais attālums,Mazākais vai lielākais attālums,,https://problems.ru/view_by_subject_new.php?parent=357
smallestOrLargestArea,extremeElementMethod,3,Mazākais vai lielākais laukums,Mazākais vai lielākais laukums,,https://problems.ru/view_by_subject_new.php?parent=358
largestTriangleMethod,extremeElementMethod,4,Lielākā trijstūra metode,Lielākais trijstūris,,https://problems.ru/view_by_subject_new.php?parent=359
