L1,L2,L3,L4,L5,Label,ShortName,Description,TranslateTo,
2,2,2,1,0,div.fta.divisors.pair,Dalītāju pāru sadalāmība,Izmantot skaitļa pozitīvo dalītāju sadalāmību pāros,IntegerFactorization,
2,2,2,2,0,div.fta.divisors.frac,Dalītāju un daļskaitļu analīze,Pāriet no skaitļa dalītāju aplūkošanas uz daļskaitļu aplūkošanu,IntegerFactorization,
2,2,2,3,0,div.fta.divisors.num,Dalītāju skaits un dalītāji,Atrast skaitļa dalītāju skaitu un visus dalītājus pēc tā sadalījuma pirmreizinātājos,DivisorNumberAndSum,
2,2,2,4,0,div.fta.divisors.test,Dalāmības pamatojums,"Pamatot dalāmību ar saliktu skaitli d, pārbaudot d pirmreizinātāju augstākās pakāpes",FactorizationAndDivisibility,
2,2,2,5,0,div.fta.divisors.struct,Dalītāju struktūra,"Izkārtot skaitļa visus pozitīvos dalītājus ""taisnstūrainā"" struktūrā, sadalot pa pāriem, u.c.",FactorizationAndDivisibility,
2,2,3,0,0,div.fta.pow,Pilnas pakāpes,Pazīt pilnus kvadrātus u.c. pilnas pakāpes pēc skaitļa sadalījuma pirmreizinātājos,FactorizationAndProperties,
2,2,3,1,0,div.fta.pow.square,Pilnu kvadrātu noteikšana,"Noteikt pilnu kvadrātu pēc tā, ka pirmreizinātāju kāpinātāji ir pāru skaitļi",PrimeFactorizationAndPowers,
2,2,3,2,0,div.fta.pow.other,Citu pilnu pakāpju noteikšana,"Noteikt citas pilnas pakāpes pēc tā, ka pirmreizinātāju kāpinātāji dalās ar lielākiem skaitļiem",PrimeFactorizationAndPowers,
2,2,4,0,0,div.fta.pow.expsystem,Vienādojumu sistēmas,"Pārveidot veselu skaitļu vienādojumu par sistēmu, pielīdzinot pirmskaitļu kāpinātājus.",SystemOfEqualExponents,
2,2,5,0,0,div.fta.factorial,Faktoriāla dalījumi,Izmantot faktoriāla dalījumu pirmreizinātājos,DivisorsOfFactorial,
2,3,0,0,0,div.common,LKD un MKD jēdzieni,"Izmantot LKD un MKD jēdzienus (common multipliers, divisors)",GcdAndLcm,
2,3,1,0,0,div.common.lcm,Mazākais kopīgais dalāmais,Atrast mazāko kopīgo dalāmo (MKD),GcdAndLcm,
2,3,1,1,0,div.common.lcm.maxexp,Sadalījumi un MKD,Iegūt LKD vai MKD no skaitļu sadalījumiem pirmreizinātājos (attiecīgi minimums vai maksimums no pirmskaitļu pakāpēm),GcdAndLcmProperties,
2,3,1,2,0,div.common.lcm.mult,MKD un k,"Atrast visus divu skaitļu kopīgos dalāmos formā $\mbox{MKD}(a,b) \cdot k$",GcdAndLcmProperties,
2,3,1,3,0,div.common.lcm.frac,MKD un daļas,Izmantot MKD racionālu daļu saskaitīšanā,GcdAndLcmProperties,
2,3,2,0,0,div.common.gcd,Lielākais kopīgais dalītājs,Izmantot LKD jēdzienu,GcdAndLcm,
2,3,2,1,0,div.common.gcd.euclid,Eiklīda algoritms,Izmantot Eiklīda algoritmu,EuclideanAlgorithm,
2,3,2,2,0,div.common.gcd.subsequent,LKD secinājumi,"Izmantot, ka $\mbox{LKD}(n,n+1)=1$",MutualPrimes,
2,3,2,3,0,div.common.gcd.bezout,Bezū identitāte,Izmantot Bezū identitāti,BezoutIdentity,
2,5,0,0,0,div.valu,Valuācija,"Izmantot spriedumus par valuāciju (lielāko pirmskaitļa pakāpi, ar ko dalās $n$)",PrimeOrder,
2,5,1,0,0,div.valu.prop,Valuācijas īpašības,Izmantot valuāciju īpašības,ValuationProperties,
2,5,1,1,0,div.valu.prop.prod,Reizinājuma valuācija,Izmantot faktu: skaitļu reizinājuma valuācija ir reizinātāju valuāciju summa,ValuationProperties,
2,5,1,1,1,div.valu.prop.legendre,Ležandra formula,Lietot Ležandra formulu $v_p(n!)=[n/p]+[n/p^2]+\ldots$,DivisorsOfFactorial,
